sep=,
Type,FSVA3013,
Version,1.40,
Date,31.Jan 2022,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
97900,-8.64421844482421875,
98100,-9.29360198974609375,
98300,-8.22382354736328125,
98500,-7.40164947509765625,
98700,-6.5142669677734375,
98900,-7.543548583984375,
99100,-9.5403594970703125,
99300,-6.0602264404296875,
99500,-7.18749237060546875,
99700,-6.71014404296875,
99900,-7.6468048095703125,
100100,-9.17255401611328125,
100300,-7.64440155029296875,
100500,-6.96196746826171875,
100700,-7.5270538330078125,
100900,-7.84906768798828125,
101100,-7.98876953125,
101300,-7.62380218505859375,
101500,-6.19391632080078125,
101700,-7.2251129150390625,
101900,-6.45272064208984375,
102100,-7.37358856201171875,
102300,-6.27063751220703125,
102500,-7.88542938232421875,
102700,-9.07845306396484375,
102900,-8.5953521728515625,
103100,-6.5570068359375,
